contact_id,first_name,last_name,email,company_name,Remaining Goal Amount
2467,Calogero,Cross,calogero.cross@mercantini.it,Warren Ltd,153288.00
2809,Lauretta,Neal,lauretta.neal@hotmail.de,Foley-Cox,151747.00
3290,Chantal,Armas,chantal.armas@jenkins.net,Mcmillan Group,98164.00
3280,Ariadna,Geisel,ariadna.geisel@rangel.com,Nunez-Richards,88154.00
6007,Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,Willis and Sons,72323.00
4785,Guillermina,Nicholson,guillermina.nicholson@grondin.fr,Rush-Bowers,71872.00
2609,Henry,Gucci,henry.gucci@leleu.fr,Parker PLC,41198.00
1657,Gabriela,Padilla,gabriela.padilla@pearson-russell.com,Parker-Morris,40291.00
1725,Svenja,Perrin,svenja.perrin@berger.com,Berry-Richardson,8362.00
1486,Caroline,Reeves,caroline.reeves@yahoo.com,Barnes-Williams,3768.00
5594,Katarina,Clarke,katarina.clarke@hotmail.com.au,Wiggins Ltd,3739.00
4025,Imelda,Guerin,imelda.guerin@stumpf.net,Burns-Burnett,1559.00
3916,Danny,Farrell,danny.farrell@hotmail.com,Cooper Inc,1503.00
5713,Tobias,Carbajal,tobias.carbajal@live.com,Joyce PLC,426.00
